symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MT-ND3	0.07767593265300347	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.12369703034736457	No data	No data	1	0	0	0	0	0	0	No data	No data	No data	No data	No data	No data	No data	0.5	-1
NDUFS6	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	0.7108659680088252	-0.9267852223592232	0	No data	No data	No data	0.5	-1
NDUFV1	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.7952599999999996	No data	0.2111417539988969	-0.6285074818796199	0	No data	No data	No data	-1	-1
MT-ND5	0.07497337996562159	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	1	0	0	0	0	0	0	No data	No data	No data	No data	No data	No data	0	0.5	-1
NDUFS7	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.31925000000000026	No data	-0.4025372311086597	-0.6301919666369088	0	No data	No data	No data	0.5	-1
NDUFB5	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	0.7247655819084391	-0.7970037908026695	0	No data	No data	No data	-1	-1
NDUFA12	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.4482750000000003	No data	0.37297297297297294	0	0	No data	No data	No data	0.5	-1
RARB	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.921875	0	-0.7118587975730832	-0.7107767950484414	0	-1	No data	-0.36941999999999986	-1	0
VDR	0.1189302527629939	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.826173475857794	No data	No data	1	0	0	1	1	1	0.4028100000000002	0	-0.4177606177606178	-0.959527199762138	0	-1	No data	0	1	0
NDUFC1	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	0.7186982901268615	No data	0	No data	No data	No data	0.75	-1
NDUFAB1	0.0749323155373233	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	1	0	0	0	0	0	0.29487000000000024	No data	-0.5523441809156096	No data	-1	No data	No data	0	0.5	-1
MT-ND4L	0.07687260977441797	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.09726892761785938	No data	No data	1	0	0	0	0	0	0	No data	No data	No data	No data	No data	No data	No data	0.5	-1
NDUFAF4	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	-0.01147269718698285	No data	0	No data	No data	No data	-1	-1
RARG	0.11210870941728918	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	0.7666914784240332	1	0	0	1	1	0	0.9008800000000001	1	-0.5640375068946497	-0.7867554790146483	0	-1	No data	-0.2896474999999999	0.5	-1
GPD2	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	0	0	0	0.6630000000000003	No data	-0.29420849420849415	-0.7888429076592104	0	No data	No data	No data	-1	-1
NDUFA7	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.5575200000000002	No data	0.9178157749586322	-0.4025292816482848	0	No data	No data	No data	-1	-1
NDUFB7	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.12409000000000034	No data	0.976061776061776	0	0	No data	No data	No data	-1	-1
NDUFB3	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	0.6542746828461115	-0.022023425318627998	-1	No data	No data	No data	0.5	-1
NDUFA5	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.13793000000000005	No data	0.6111417539988968	No data	0	No data	No data	No data	0.5	-1
NDUFA3	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.047619999999999864	No data	0.6597904026475454	No data	0	No data	No data	No data	0.5	-1
NDUFS4	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.4	No data	0.6965250965250964	-0.9211005013496032	0	No data	No data	0	-1	-1
MT-ND4	0.07922534172054788	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.1746702356408475	No data	No data	1	0	0	0	1	0	0	0	No data	No data	No data	No data	No data	0	0.5	-1
NDUFB9	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.3296100000000003	No data	0.3357970215113073	-0.551243653830459	-1	No data	No data	No data	0.5	-1
NDUFAF2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.05325500000000005	No data	0.24202978488692772	0	0	No data	No data	No data	-1	-1
NDUFB10	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.040699999999999646	No data	0.7256480970766686	No data	-1	No data	No data	No data	0.75	-1
NDUFA6	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.375	No data	0.6993932708218422	-0.7276503966677363	0	No data	No data	No data	-1	-1
NDUFB6	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	0	0	0	0	No data	0.9526751241036955	No data	0	No data	No data	No data	-1	-1
NDUFB8	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.05914000000000001	No data	-0.05350248207391062	-0.4870861386104308	0	No data	No data	No data	-1	-1
MT-ND6	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	0	0	0	0	No data	No data	-0.2626188680297503	No data	No data	No data	No data	0.5	-1
NDUFS1	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.7042650000000001	No data	-0.22713734142305575	-0.6618650751880195	0	No data	No data	0	0.5	-1
COXFA4	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0.4444450000000003	No data	0.7876447876447876	0	No data	No data	No data	-0.10493750000000013	0.5	-1
NDUFA9	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	-0.31417539988968557	-0.7183575696040686	0	No data	No data	No data	-1	-1
NDUFA10	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0	No data	0.2662989520132377	-0.4699633750755963	0	No data	No data	0	0.5	-1
MT-ND2	0.07702916790730524	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.1024194524309578	No data	No data	1	0	0	0	0	0	0	No data	No data	0	No data	No data	No data	0	0.5	-1
NDUFS5	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	0.21919470490899062	0	-1	No data	No data	No data	-1	-1
NDUFA13	0.10175144675123822	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.05015429080295874	No data	0.6793116196331216	1	0	0	0	1	0	0.1666649999999997	No data	0.5127413127413127	-0.5786753726513527	-1	No data	No data	No data	-1	-1
NDUFV2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.5783149999999999	No data	-0.5637065637065637	-0.4025292816482848	0	No data	No data	No data	0.5	-1
BHMT2	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	No data	No data	0	1	0	0.2837449999999997	No data	0.07964699393270824	No data	0	No data	No data	-0.44215000000000015	0.75	0
