symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CFAP65	0.6508536488492025	No data	No data	0.8130785903656679	No data	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20452690119928427	No data	0.9139881389300588	No data	0	0	0	0	0	0	No data	-0.20474351902923327	0	0	No data	No data	0	0.5	0.5
DNAH2	0.6492954822620985	No data	No data	0.8485111994970301	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14064299794119708	No data	0.9554265288948313	No data	0	0	0	0	0	0.5527450000000002	No data	-0.4958632101489244	-0.11595473510967291	0	No data	No data	0	0.5	0.5
ZMYND15	0.6489854373496385	No data	No data	0.8480011991587055	No data	No data	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26980193861722745	No data	No data	No data	0	0	0	0	0	0.1846350000000001	No data	-0.2095973524544953	0	0	No data	No data	0	1	0
CFAP69	0.6413630565393673	No data	No data	0.7974672866661006	No data	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07050308555634772	No data	0.9573796822347299	No data	0	0	0	0	0	0.19765999999999978	No data	0.05328185328185331	-0.5871039360217397	0	No data	No data	No data	0.5	0
KLHL10	0.6378744020188303	No data	No data	0.7351916690902187	No data	No data	0.607930797611621	0.7599134970145264	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3071474412761393	No data	0.8390378187094322	No data	0	0	0	0	0	0.9424349999999997	No data	-0.8264754550468836	0	0	No data	No data	0	1	0.5
TDRD9	0.6361942446098549	No data	No data	0.8269606583767013	No data	No data	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3323953422463544	No data	0.8008916321255387	No data	0	0	0	0	0	0.31259000000000015	No data	-0.1306122448979592	0	0	No data	No data	0	0.75	0.5
SHOC1	0.6253333834503975	No data	No data	0.8766432328695606	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02279740491043579	No data	0.7496346657968863	No data	0	0	0	0	0	0	No data	-0.1339216767788196	-0.4693512400434427	0	No data	No data	No data	1	0.5
PNLDC1	0.6227319744066764	No data	No data	0.872364112525697	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10849527962416254	No data	0.7577413006305305	No data	0	0	0	0	0	0.27495499999999995	No data	0.13281853281853273	0	0	No data	No data	0	0.5	0.5
XRCC2	0.6186205301153204	No data	No data	0.7600575576091166	No data	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0	No data	0.40044125758411475	-0.8261970829326667	0	No data	No data	0	0.5	0
SOHLH1	0.6133506203919012	No data	No data	0.7258153340551545	No data	No data	0.607930797611621	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3258459208866645	No data	0.8445950436814932	No data	0	0	0	0	0	0	No data	0.020849420849420763	0	0	No data	No data	0	0.75	0.5
WDR19	0.6122935262754776	No data	No data	0.8974110744744261	No data	No data	0.3039653988058105	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	0	0	0	0.47839000000000026	No data	-0.23298400441257583	-0.7334659128856338	0	No data	No data	No data	-1	-1
SEPTIN12	0.6118060217288146	No data	No data	0.43088618554037383	No data	No data	0.607930797611621	0.7599134970145264	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4004603282254335	No data	0.9352227158370268	No data	0	0	0	0	0	0.24581000000000017	No data	0.7218974076116933	0	0	No data	No data	0	1	0.5
SYCP2	0.6113977973139277	No data	No data	0.8537202518473481	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4030647500640499	No data	0.773800933374906	No data	0	0	0	0	0	0	No data	-0.8328736900165472	0	0	No data	No data	0	0.75	0
AURKC	0.6100153158299042	No data	No data	0.8514461747822366	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22357050569783715	No data	0.8923853987308084	0.5	0	0	1	1	0	0	1	-0.277992277992278	0	0	-1	No data	-0.409385	1	0
CATSPER1	0.6097091447574626	No data	No data	0.7833946802152982	No data	No data	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39591086286986565	No data	0.8748572305116047	No data	0	0	0	0	0	0	No data	-0.1063430777716492	-0.05228713452225198	0	No data	No data	0	1	1
GCNA	0.5938940847517773	No data	No data	0.8249279737937977	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0726257772580083	No data	No data	No data	0	0	0	0	0	No data	No data	No data	No data	0	No data	No data	No data	0.5	0
M1AP	0.5900752461152904	No data	No data	0.8608636907138465	No data	No data	0.3039653988058105	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05197629110954215	No data	0.763612214909918	No data	0	0	0	0	0	0	No data	-0.08218422504136791	-0.10464984253932358	0	No data	No data	No data	0.5	0.5
TERB1	0.5866156243482928	No data	No data	0.8129554591061403	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10689449858004338	No data	0.7443724997416015	No data	0	0	0	0	0	0	No data	0.1930501930501931	-0.10816287403228847	No data	No data	No data	No data	1	0.5
SPAG17	0.5846034673616762	No data	No data	0.5957721816593886	No data	No data	0.3039653988058105	0.3039653988058105	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1503784375758746	No data	0.8633384950938371	No data	0	0	0	0	0	0	No data	-0.4453392167677882	-0.890102663611464	0	No data	No data	No data	0.5	0
PDHA2	0.5818652417007976	0.19136106655136817	No data	0.7447152270742359	No data	No data	0.3039653988058105	0.3039653988058105	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09530666209890185	No data	No data	No data	0	0	0	0	0	0	No data	0.6102592388306673	0	0	No data	No data	-0.6456175000000002	1	1
DRC1	0.5766667609335612	No data	No data	0.7965903342369646	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10218293150896188	No data	0.8103931632038928	No data	0	0	0	0	0	0	No data	-0.1763927192498621	-0.9429044730503574	0	No data	No data	0	0.75	0.5
CFAP91	0.576563052300869	No data	No data	0.7964197414111042	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13492686313657926	No data	0.4494850111230317	No data	0	0	0	0	0	0	No data	0.28185328185328196	-0.13801839227553903	0	No data	No data	No data	0.5	0
AK7	0.5763844220377714	No data	No data	0.6903391946211964	No data	No data	0.607930797611621	0.607930797611621	0.607930797611621	0.006079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17990754069897547	No data	0.5797141419481029	No data	0	0	0	0	0	0.2807749999999999	No data	-0.04158852730281304	-0.8788240846638407	0	No data	No data	0	0.5	0
DZIP1	0.572058377251611	0.060255137504212394	No data	0.7176960805137194	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	0.9809415092687809	No data	0	0	0	0	0	0	No data	0.07302813017098742	-0.8123526233739536	0	No data	No data	0	0.5	0
USP26	0.5706497746259138	No data	No data	0.7866928486493182	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5683241787686674	No data	0.7942347430481064	No data	0	0	0	0	0	No data	No data	No data	-0.2697089938193814	0	No data	No data	0	No data	No data
TERB2	0.5582709027153911	No data	No data	0.7325566111220034	No data	No data	0.3039653988058105	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.039346632178752144	No data	0.7093657169861411	No data	0	0	0	0	0	0	No data	0.21478212906784333	-0.10126255501333198	0	No data	No data	No data	1	0.5
SSX1	0.5451302856599352	No data	No data	0.7447152270742359	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	No data	No data	0	No data	No data	-0.48138250000000016	1	1
CFTR	0.5407596422999897	No data	No data	0.8895085500265378	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7481468415686124	No data	0.7663632348623732	1	1	0	1	1	1	0	1	0.3204633204633205	-0.9646773965076629	0	-1	No data	0	0.5	0
AR	0.5399381787184799	No data	No data	0.888157304811232	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6590412310901819	No data	0.811005569833755	1	0	0	1	1	1	0.2826099999999997	1	No data	-0.7350857469360702	0	-1	-1	0	0.5	0
TNFSF15	0.5294769696887722	0.72276627839158	No data	0.5927325276713306	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3751283773221711	No data	No data	No data	0	1	0	0	0	0	No data	0.02945394373965793	0	0	No data	No data	0	0.5	0
CEP112	0.5268566150671915	No data	No data	0.7568738430264683	No data	No data	0.3039653988058105	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16447905468714413	No data	No data	No data	0	0	0	0	0	0.33507999999999993	No data	-0.09961389961389966	0	0	No data	No data	No data	0.5	-1
RPL10L	0.5238281134801919	No data	No data	0.547137717850459	No data	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17135170737612615	No data	0.8545768632395259	No data	0	0	0	0	0	0.7429900000000004	No data	0.5705460562603419	0	0	No data	No data	-0.8948599999999999	1	0.5
CATIP	0.5238281134801919	No data	No data	0.547137717850459	No data	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	0.6075926018353434	No data	1	0	0	0	0	0	No data	0.3055708769994485	0	0	No data	No data	0	0.5	0
FKBP6	0.5222001603130315	No data	No data	0.858979611437026	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12376253143680806	No data	0.8987710039218817	No data	0	0	0	0	0	0.22018500000000002	No data	0.17992277992277983	-0.06618660464602966	0	No data	No data	0	1	1
LACC1	0.5170429242625217	0.8049015399179956	No data	0.18237923928348632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22227253341668637	No data	No data	No data	0	0	0	0	0	0	No data	0.33072255929398797	-0.2500318922978764	0	No data	No data	No data	-1	0
IFT74	0.5161798637096334	No data	No data	0.6295461148600343	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07554891117652418	No data	0.5064240923916492	No data	0	0	0	0	0	0.3916649999999997	No data	0.6895752895752896	-0.8253393100810121	0	No data	No data	No data	-1	-1
ZPBP	0.5146114306843512	No data	No data	0.6295461148600343	No data	No data	0.3039653988058105	0.4137306817079088	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030987583711592354	No data	0.9373697197629913	No data	0	0	0	0	0	0	No data	-0.2217319360176503	0	0	No data	No data	0	1	0.5
NOD2	0.5105414826076384	0.6865527499932854	No data	0.6129968875917179	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4572005746553281	No data	No data	1	0	0	1	1	0	0	No data	0.11947049089906225	-0.8143087360547074	0	No data	No data	0	0.5	0
GGN	0.5081723001914649	No data	No data	0.6839221473130737	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	0	0	0	0	0	0	No data	0.37010479867622714	-0.39195967452801656	0	No data	No data	0	1	0.5
CCDC34	0.5081723001914649	No data	No data	0.6839221473130737	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1348002108870768	No data	0.9533321273400981	No data	0	0	0	0	0	0	No data	0.20088251516822941	-0.08323942318989808	0	No data	No data	No data	0.5	-1
PPP2R3C	0.5066200648017892	No data	No data	0.7573601876645576	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9116999999999997	No data	-0.024710424710424728	-0.4025292816482848	0	No data	No data	No data	-1	-1
CFAP61	0.5028567613631171	No data	No data	0.8271611889686975	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1715672555280382	No data	0.9330598028461642	No data	0	0	0	0	0	0	No data	-0.13348041919470488	-0.10960486653261936	0	No data	No data	No data	0.5	0.5
