symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CDS1	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4484255000562378	No data	0	0	0	0	0	0.7939250000000001	No data	-0.00551571980143406	0	0	No data	No data	-0.23535749999999994	-1	0
LRRCC1	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4484255000562378	No data	0	0	0	0	0	0	No data	0.1805846662989521	-0.05901705023956677	0	No data	No data	0	0.5	0
CEP41	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.051674117796987794	No data	0.4484255000562378	No data	0	0	0	0	0	0.35656999999999994	No data	0.17694429123000543	-0.7477790270438142	0	No data	No data	0	0.5	-1
PPP4R1	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4484255000562378	No data	1	0	0	0	0	0.3526299999999999	No data	-0.6650854936569222	0	0	No data	No data	0	-1	-1
BZW1	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	0.4484255000562378	No data	0	0	0	0	0	1	No data	-0.9642581356867072	0	0	No data	No data	-0.30787499999999995	-1	-1
IVL	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	0.4484255000562378	No data	0	0	0	0	0	No data	No data	0.9100937672366243	-0.05901705023956677	0	No data	No data	No data	0.75	0.5
DMD	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.028876712886552	No data	0.4484255000562378	1	1	0	0	0	0	0.5549550000000003	No data	No data	-0.9763476798930509	0	No data	No data	0	-1	0
UBN2	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4484255000562378	No data	0	0	0	0	0	0.5360050000000001	No data	-0.8369553226696084	-0.5992435456442596	0	No data	No data	0	-1	-1
GABRB1	0.05437939717482806	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4472498957814648	1	1	0	1	1	0	0.9050649999999998	No data	-0.6136789851075566	-0.302505674061726	0	No data	No data	-0.47784750000000004	0.5	0.5
INHA	0.05431667186172962	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.043146199663824776	No data	0.44673400389586815	No data	0	1	0	1	0	0	No data	-0.45504688361831214	-0.8908171427169109	0	No data	No data	0	0.75	0
BRIP1	0.05423597588981258	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	0.4460703101643276	No data	0	0	0	0	0	0	No data	-0.20783232211803637	-0.7026276895458378	0	No data	-1	0	0.75	0.5
TAC3	0.054204852350943244	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44581433087366157	No data	0	1	1	1	0	0	No data	-0.07060121345835635	-0.18382961932668473	0	No data	No data	No data	1	0
COMMD3-BMI1	0.054135808213466446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4452464690565925	No data	No data	No data	No data	No data	No data	No data	No data	-0.338996138996139	-0.8285222850179915	No data	No data	No data	No data	0.5	0
BMI1	0.054135808213466446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33046408407768774	No data	0.4452464690565925	No data	0	0	0	0	0	0.8466250000000002	No data	-0.7799227799227799	-0.8285222850179915	0	No data	No data	-0.1257674999999999	-1	-1
SLC39A11	0.054042669853856064	0.08889608828204396	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5074649999999998	No data	0.4497517926089354	No data	0	No data	No data	No data	-1	-1
FAM135B	0.054042669853856064	0.08889608828204396	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.057609999999999675	No data	-0.7474903474903475	No data	0	No data	No data	0	0.75	0.5
STAR	0.05395977162997334	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.046776897482894174	No data	0.44379863499238076	No data	0	0	0	0	1	0.35087499999999994	No data	0.5076668505239934	-0.7820935640117155	0	-1	No data	0	1	0
SSUH2	0.05382930583482683	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4427256033606631	No data	0	0	0	0	0	0.1333350000000003	No data	0.30005515719801434	-0.82471518950127	0	No data	No data	No data	0.5	0.5
ADAMTS16	0.05381082684209258	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	0.4425736206612601	No data	0	1	0	0	0	0.12989999999999996	No data	-0.29575289575289576	-0.2035914972095168	0	No data	No data	0	0.5	0
HELQ	0.05374984616606959	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	0.4420720777532305	No data	0	0	0	0	0	0	No data	-0.37738554881412023	-0.2536756852131161	0	No data	No data	0	-1	-1
NTRK2	0.05372031057601605	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	0.4418291587386849	1	1	0	1	1	0	0.6062049999999999	1	-0.9886376172090457	-0.9340264022172547	0	-1	-1	0	0.5	0
ADCY3	0.05357216892011842	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	0.44061074986320403	No data	1	0	1	1	0	0.7290199999999999	No data	-0.44169884169884166	-0.8973939565113805	0	No data	No data	0	-1	-1
ENKD1	0.05355498624215583	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4404694288606319	No data	1	0	0	0	0	0.2196550000000002	No data	0.666519580805295	-0.7352784864392461	0	No data	No data	0	-1	-1
SCN8A	0.05353610639293602	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4403141492688265	1	1	0	1	1	0	0.9267699999999998	No data	-0.9630446773303916	-0.9487367157153703	0	No data	No data	-0.4229800000000001	0.75	0.5
DIO3	0.053434391281103485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43947758109172363	No data	0	0	0	0	0	0.7368400000000002	No data	-0.6477661334804192	-0.7498461096048087	0	-1	No data	0	0.5	0
MARCHF2	0.053283633273656636	0.08764753074361778	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7357700000000001	No data	0.4380584666298952	-0.6575019907921287	0	No data	No data	-0.1463425000000001	-1	-1
IL2RB	0.05295094432527703	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	0.43550141342818544	1	1	0	0	0	0	0	No data	-0.553557639271925	-0.7368447613228502	0	No data	No data	0	0.5	0
PGR	0.05278513597782897	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13537523986183775	No data	0.4341377027221357	1	0	0	1	1	1	0.008574999999999732	0	-0.6275785990071705	-0.8140812228572131	0	-1	No data	0	0.75	0
RUNX3	0.052324367043367674	0.08606961063485272	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5421700000000002	No data	-0.4377275234418092	-0.8994571556033687	0	No data	No data	-0.1445775000000001	0.5	0
MPZ	0.05231558699380797	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17478010431334107	No data	0.4302758406001169	No data	1	0	0	0	0	0.69758	No data	-0.4254826254826255	-0.7325098894091803	0	No data	No data	0	0.5	0
TEDDM1	0.052292336942518045	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4300846177554999	No data	0	0	0	0	0	0	No data	0.8025372311086596	-0.031001120182822806	0	No data	No data	0	1	0.5
